customer_id,date,total_sales,age,product_category,online_sales,offline_sales
47b13f69-9e05-4325-915f-8e2fcfa7419e,2024-08-25,4223.71,67,Toys,1135.63,2216.17
d8e1b578-2301-4fe3-a198-412ff0fbbeb5,2024-06-05,3037.22,68,Clothing,797.81,455.81
0ac4b3cd-83a0-448a-8ad7-6914a2316050,2023-04-14,4198.6,62,Books,33.78,2155.62
1e7f9fac-e3ec-4d88-832b-b4ff49c22475,2024-06-28,254.72,50,Electronics,461.28,1994.47
c173a7fe-0777-4a59-80f4-1500a86d7725,2023-04-10,2543.93,43,Home & Kitchen,464.02,623.22
820c88c9-a127-4a23-bfe2-4caf6ed7e979,2024-04-24,2687.39,66,Electronics,1493.23,1523.49
fad238ad-d7bc-4fba-ac9c-cfffe8858308,2023-10-25,4063.08,30,Clothing,1672.25,1345.58
3d638daa-2404-4d2a-8db9-8d2612eeb8b9,2023-07-13,3240.21,18,Books,1696.36,2959.99
0442543d-ebe3-46f4-b043-ef079e987289,2023-10-08,4609.18,67,Clothing,1773.39,2829.43
cd1a6bd4-fe63-4bfe-b3fc-ac3d6ebdd4d9,2023-11-03,492.03,36,Books,1221.74,53.83
f7791b5c-3680-4bb5-9e3a-2739b714ab8c,2024-08-21,3893.44,20,Electronics,2976.24,1611.71
96395b26-2acf-4eef-8e31-b8c4e02351c3,2024-10-15,3679.91,41,Electronics,2528.24,874.47
65529f32-690a-4f8d-86b6-5043f5d783ca,2023-12-06,1187.35,42,Electronics,494.7,864.43
9168764d-f60e-4eaf-a60a-96f60c992515,2023-04-26,2129.02,37,Toys,2823.56,2806.69
fc712ebd-cde7-41d0-9439-7fe8a10cd572,2023-07-31,4754.8,22,Books,532.24,2642.91
910a709e-7d88-4e82-9ec5-ee0672f52f0d,2023-12-16,3559.62,63,Books,1924.56,884.28
9de3ba41-f546-468b-bed3-9a72c68fddc5,2023-07-31,3560.26,36,Electronics,2972.66,2557.08
d696117d-bd9d-4468-b446-b727a2318cb5,2023-10-08,1955.34,57,Toys,1279.84,2215.92
f47abc7f-edc9-4497-8075-f3d26044d1ac,2024-09-02,1887.31,41,Home & Kitchen,573.87,1433.64
7fca9bb5-0f45-4490-97f3-ff9a7078738b,2023-04-28,2276.78,22,Books,644.71,2779.61
83791eb7-1ce5-48d2-ada4-847469f0ae88,2023-05-03,2743.96,23,Books,588.54,1085.11
1d465291-33da-4c0a-b9d7-f843b141cfb6,2023-05-21,1377.72,60,Toys,2161.9,2162.84
69c6eaaf-53d4-4025-a3ae-c46c3acf2212,2023-10-14,777.49,57,Electronics,926.39,2479.11
e83662b0-7e9b-4bfa-a074-34caa370c0a3,2023-11-12,2916.57,47,Electronics,1961.71,656.53
bda52cad-521d-4ae5-961c-b4e068be4911,2023-08-03,1790.98,20,Clothing,2710.46,2230.62
9fa84c44-b0dd-48df-bbb5-1a3ad5d54de7,2023-04-02,4644.56,47,Clothing,2748.46,663.93
74e3fc57-37ea-40dc-918d-1aa8dcecc626,2024-10-13,757.56,41,Electronics,286.71,443.99
ea0f50fe-53cb-44f8-be79-3cbeb70e44f0,2023-04-05,519.35,33,Clothing,679.54,1834.99
f63f3a37-f79e-46d3-b443-797cedc1b806,2024-04-14,3838.59,61,Toys,1072.38,695.22
74b03cfa-3944-47ab-8abd-8965e2c868a8,2024-07-05,814.3,35,Home & Kitchen,175.15,2974.25
7fa64e6e-207d-4937-92d4-8c584b90d719,2023-10-15,3542.52,40,Electronics,888.68,40.83
eb1f3489-2b2c-4335-977a-32dff96a21af,2024-08-02,1989.97,59,Electronics,958.37,2009.21
